,0
0,Acinar cells
1,Principal cells
2,Plasmacytoid dendritic cells
3,Endothelial cells
4,Pancreatic progenitor cells
5,Paneth cells
6,Epsilon cells
7,Fibroblasts
8,Enterocytes
9,Ductal cells
10,Macrophages
11,Clara cells
12,Pulmonary alveolar type II cells
13,Sebocytes
14,Epithelial cells
15,Luminal epithelial cells
16,Crypt cells
17,Cholangiocytes
18,Platelets
19,Adipocytes
20,Ependymal cells
21,Hepatocytes
22,Proximal tubule cells
23,Hematopoietic stem cells
24,Pericytes
25,Gastric chief cells
26,Microglia
27,Basophils
28,Myoblasts
29,Bergmann glia
30,Neuroblasts
31,Adipocyte progenitor cells
32,Melanocytes
33,T helper cells
34,Megakaryocytes
35,Nuocytes
36,Mesangial cells
37,Natural killer T cells
38,Chondrocytes
39,Osteoblasts
40,Podocytes
41,Sertoli cells
42,Mast cells
43,Leydig cells
44,Mammary epithelial cells
45,B cells memory
46,B cells naive
47,Plasma cells
48,Thymocytes
49,Beta cells
50,Langerhans cells
51,Neutrophils
52,MÃ¼ller cells
53,Osteoclast precursor cells
54,Monocytes
55,Kupffer cells
56,Satellite glial cells
57,Pinealocytes
58,Pyramidal cells
59,Dendritic cells
60,Cardiomyocytes
61,Loop of Henle cells
62,Smooth muscle cells
63,Oxyphil cells
64,Tanycytes
65,Astrocytes
66,Oligodendrocytes
67,Oligodendrocyte progenitor cells
68,Pancreatic stellate cells
69,NK cells
70,Stromal cells
71,Eosinophils
72,Red pulp macrophages
73,Neurons
74,Keratinocytes
75,Pulmonary alveolar type I cells
76,Osteoclasts
77,Serotonergic neurons
78,Dopaminergic neurons
79,Noradrenergic neurons
80,Adrenergic neurons
81,Glomus cells
82,Chromaffin cells
83,Enteric glia cells
84,Airway epithelial cells
85,Choroid plexus cells
86,Erythroblasts
87,Embryonic stem cells
88,Epiblast cells
89,Ciliated cells
90,Airway goblet cells
91,Goblet cells
92,Mesothelial cells
93,Schwann cells
94,Microfold cells
95,Foveolar cells
96,Myofibroblasts
97,Hepatic stellate cells
98,Enteroendocrine cells
99,Alpha cells
100,Gamma (PP) cells
101,Interneurons
102,Neural stem/precursor cells
103,Delta cells
104,Anterior pituitary gland cells
105,Radial glia cells
106,Immature neurons
107,Retinal progenitor cells
108,Alveolar macrophages
109,Erythroid-like and erythroid precursor cells
110,Reticulocytes
111,Satellite cells
112,Enteric neurons
113,T cells
114,Myeloid-derived suppressor cells
115,Tuft cells
116,Gamma delta T cells
117,Glutaminergic neurons
118,B cells
119,T memory cells
120,Purkinje neurons
121,Pluripotent stem cells
122,Hepatoblasts
123,T regulatory cells
124,Intercalated cells
125,Basal cells
126,Myoepithelial cells
127,Trophoblast cells
128,T follicular helper cells
129,Neuroendocrine cells
130,Enterochromaffin cells
131,Parathyroid chief cells
132,Cardiac stem and precursor cells
133,Retinal ganglion cells
134,Motor neurons
135,Cajal-Retzius cells
136,Cholinergic neurons
137,Urothelial cells
138,Osteocytes
139,Peritubular myoid cells
140,Ionocytes
141,Germ cells
142,Meningeal cells
143,Myocytes
144,Distal tubule cells
145,Luteal cells
146,Follicular cells
147,Taste receptor cells
148,GABAergic neurons
149,Merkel cells
150,Granulosa cells
151,Endothelial cells (aorta)
152,Peri-islet Schwann cells
153,Trigeminal neurons
154,Glycinergic neurons
155,Transient cells
156,T cytotoxic cells
157,Trophoblast progenitor cells
158,Trophoblast stem cells
159,Juxtaglomerular cells
160,Olfactory epithelial cells
161,Parietal cells
162,Photoreceptor cells
163,Trichocytes
